,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
0,0,"Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland",Volg,ChIJoetcG74HkEcR5_9mPkmNtSI,4.4,47.0,47.26797270000001,8.4862223,True,,
1,1,"8914 Aeugst am Albis, Switzerland",Dorfstrasslädeli,ChIJMw32-T8HkEcR6eopttlUI7o,5.0,6.0,47.2671635,8.4871474,True,,
2,2,"Unterdorf 6, 8914 Aeugst am Albis, Switzerland",The Country Store,ChIJUy2txL0HkEcRMiacsN4WL1A,5.0,6.0,47.2670557,8.4840952,False,,
3,3,"Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland",migrolino Affoltern am Albis,ChIJURZXD2oGkEcRtXYXRHI1aFc,4.1,67.0,47.2746869,8.445784699999999,True,,
4,4,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Supermarkt Affoltern am Albis,ChIJk6WFSkcGkEcRwsvlTASqby8,4.1,1179.0,47.2738709,8.445676299999999,True,,
5,5,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",Lidl Schweiz,ChIJW4AoZTcGkEcRZ-7-G4qYMg0,4.1,292.0,47.2780069,8.4530301,True,,
6,6,"Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland",Migros Supermarkt,ChIJiUOy2zkGkEcRy22nDwkqAks,4.2,578.0,47.2777942,8.453773,True,,
7,7,"Obere Bahnhofstrasse 14, 8910 Affoltern am Albis, Switzerland",Klimazmorge,ChIJhwnb2i8HkEcR3I-HQlnH8B4,0.0,0.0,47.27710039999999,8.4491222,,,
8,8,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI SUISSE,ChIJLzM1Oh8HkEcRwBmfpSnSZx8,4.1,292.0,47.2727245,8.4470147,True,,
9,9,"Betpurstrasse 13, 8910 Affoltern am Albis, Switzerland",food store,ChIJE1IDL0EHkEcRUdZIShWNBPk,0.0,0.0,47.2779385,8.4514937,True,,
